NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,21,67,104,93,87,101,100,120,166,200,233,241,217,247,275,317,264,273,249,277,304,324,345,359,425,529,684,950,960,994,"1,042","1,101","1,189","1,226","1,360","1,743","2,088","2,380","2,502","2,627","2,749","3,011","3,760","5,180","5,786","5,206","4,942","5,059","6,107","7,438","7,928","8,158","8,283","8,770","9,184"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,22,71,98,75,75,77,83,109,128,164,158,184,175,192,227,264,221,228,207,233,250,267,272,279,331,417,512,724,782,813,830,874,940,954,"1,040","1,347","1,622","1,655","1,762","1,951","2,042","2,214","2,486","2,454","2,606","3,249","3,551","3,657","3,667","3,793","3,961","4,059","4,362","4,448","3,453"
          CHIP (Title XIX and Title XXI),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,32,146,233,328,452,391,401,463,488,590,702,764,"1,039","1,138","1,319","1,501","1,470","1,614","1,778","2,019","2,145","2,283","2,266"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,22,103,165,234,324,283,288,331,348,421,502,544,726,795,920,"1,032","1,014","1,197","1,641","1,876","1,972","2,048","1,887"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,10,44,68,94,128,108,113,132,141,169,200,220,313,343,399,470,456,418,137,143,173,235,379
         Department of Defense,25,26,27,29,27,26,34,41,44,46,50,60,78,80,76,77,77,81,87,97,111,127,142,146,157,183,200,213,225,239,263,292,294,305,303,309,305,309,321,323,345,409,530,696,870,952,"1,105","1,226","1,278","1,381","1,488","1,596","1,590","1,520","1,641","1,723","1,656","1,615","1,543","1,394","1,439"
         Department of Veterans Affairs,1,1,1,1,1,1,1,2,3,9,26,43,51,52,44,53,56,44,45,40,49,45,30,18,13,12,11,10,10,8,8,10,14,12,11,12,12,12,11,10,11,12,13,17,26,44,68,62,65,77,73,80,75,99,121,191,200,149,246,345,113
     Other Third Party Payers and Programs,17,22,24,26,31,34,20,15,23,28,26,31,36,45,59,83,109,136,160,182,213,268,297,325,360,413,440,484,514,556,579,628,706,747,807,867,931,985,"1,019","1,076","1,170","1,238","1,279","1,240","1,250","1,301","1,310","1,341","1,357","1,461","1,504","1,468","1,488","1,515","1,472","1,466","1,545","1,588","1,651","1,785","10,485"
         Worksite Health Care,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other Private Revenues,1,1,1,1,1,1,2,3,3,5,6,7,8,14,22,36,54,69,88,108,127,165,193,215,249,299,332,381,410,448,459,491,550,583,632,685,761,803,846,911,997,"1,045","1,032",998,985,"1,027","1,021","1,023","1,005","1,051","1,046","1,054","1,061","1,106","1,072","1,074","1,158","1,214","1,253","1,382","1,326"
         Indian Health Services ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,11,14,16,19,21,22,25,25,27,31,35,33,34,37,34,40,54,65,67,69,78,76,82,83,87,99,112,110,120,129,133,142,147,157,174,189,192,200,198,204,207,213,214,223,224,246
         Workers' Compensation,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         General Assistance,1,1,1,1,1,1,1,3,8,9,11,13,16,19,23,24,28,37,37,37,47,60,62,64,62,60,55,47,46,52,58,60,64,70,79,76,65,70,61,46,41,45,100,86,100,105,113,134,154,198,231,180,176,159,160,153,143,128,141,146,145
         Maternal/Child Health,2,3,3,3,2,2,3,6,8,9,8,10,11,10,11,12,13,14,15,16,18,18,18,18,17,20,20,22,22,22,21,23,26,26,28,28,28,30,30,32,34,35,36,36,36,35,34,38,41,38,37,34,32,32,33,32,31,32,33,33,34
                          Federal  ,1,1,1,1,1,1,2,4,5,6,5,6,8,6,8,9,9,10,10,11,11,11,11,11,9,11,10,11,11,11,10,11,12,12,12,12,12,12,12,12,12,13,13,12,13,12,12,12,12,11,11,11,10,10,10,10,10,10,10,10,10
                          State and Local,1,2,2,2,1,1,1,2,3,3,3,3,3,3,4,4,4,4,5,5,7,7,7,7,8,9,10,11,11,11,11,12,14,15,15,16,17,18,19,20,21,22,23,23,23,23,22,26,30,27,26,24,21,22,23,23,22,22,23,23,24
         Vocational Rehabilitation,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other Federal Programs*,7,10,11,13,14,13,7,3,3,3,1,2,2,3,3,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,8,20,19,2,  -    ,  -    ,  -    ,  -    ,  -    ,"8,734"
         SAMHSA,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other State and Local Programs**,6,8,8,9,13,16,7,1,2,2,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         School Health,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
"Total CMS Programs (Medicaid, CHIP and Medicare)",  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,43,138,201,168,162,179,183,228,295,364,390,424,392,440,503,581,485,501,456,511,555,593,619,640,758,961,"1,213","1,709","1,782","1,861","1,947","2,066","2,262","2,409","2,719","3,504","4,240","4,496","4,736","5,127","5,382","5,979","7,169","8,694","9,672","9,887","10,180","10,696","11,652","13,304","14,180","15,103","15,990","17,446","17,462"
Total Other Professional Services Expenditures,392,409,429,451,486,533,572,608,644,678,726,793,893,"1,022","1,163","1,337","1,564","2,058","2,403","2,847","3,478","4,273","4,917","5,651","7,328","8,113","9,284","11,329","13,722","14,499","17,278","18,559","20,860","22,956","23,974","26,671","28,857","31,275","33,424","34,614","36,647","40,266","43,338","46,523","50,211","52,795","55,264","60,055","64,486","67,037","69,889","72,794","76,429","78,053","82,437","87,450","92,210","96,923","104,489","111,251","117,441"
     Out of pocket,340,342,350,359,381,393,387,372,361,345,321,284,306,387,432,629,726,995,"1,169","1,358","1,652","1,959","2,175","2,391","3,074","3,187","3,468","4,115","4,935","4,997","5,887","6,028","6,578","6,988","6,987","7,484","7,778","8,774","9,458","10,070","10,545","11,129","11,838","12,530","13,314","13,676","14,346","15,714","16,732","16,878","17,562","18,199","19,006","19,145","20,303","21,340","22,465","23,731","25,687","27,007","25,771"
     Health Insurance,8,11,14,18,23,28,46,72,80,82,97,123,155,214,273,396,483,643,742,900,"1,114","1,435","1,708","2,051","2,715","3,078","3,643","4,580","5,651","6,067","7,506","8,297","9,523","10,821","11,616","13,384","14,904","15,929","17,308","17,785","19,225","21,870","23,793","26,114","28,778","30,778","32,504","35,299","38,372","40,692","42,553","44,528","46,924","48,332","51,230","54,883","58,156","61,369","66,282","71,389","70,582"
          Private Health Insurance,8,11,14,18,23,28,31,34,36,38,39,44,59,90,117,197,258,398,492,600,766,"1,009","1,236","1,491","2,095","2,362","2,785","3,569","4,509","4,804","5,948","6,394","7,315","8,141","8,520","9,544","10,366","11,005","11,328","11,831","12,470","13,613","14,849","16,333","17,670","18,239","19,155","21,040","22,327","22,497","23,357","24,401","25,664","25,532","26,296","27,533","29,315","30,451","32,632","34,264","32,884"
          Medicare,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,3,10,13,15,18,22,27,34,47,63,74,87,106,131,167,201,259,332,383,460,560,669,780,897,"1,113","1,354","1,614","1,846","2,237","2,824","3,331","3,620","4,658","4,483","5,127","6,368","6,608","7,295","8,079","9,213","9,951","10,661","12,047","13,370","14,068","15,131","16,250","17,454","18,715","20,220","21,241","23,225","25,601","28,609","28,952"
          Medicaid (Title XIX),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,11,28,31,29,40,56,69,90,108,136,150,158,144,169,181,225,214,228,238,256,298,342,362,366,445,549,594,834,859,"1,016","1,207","1,304","1,316","1,428","1,571","1,815","2,216","2,373","2,924","3,204","3,225","3,451","3,834","4,650","4,960","4,792","4,783","5,093","5,967","6,839","7,269","7,312","7,653","8,083","8,298"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,6,14,16,16,21,32,37,47,61,75,86,89,80,95,98,121,115,123,128,138,162,187,202,204,249,304,344,502,499,579,693,744,757,826,905,"1,037","1,253","1,407","1,713","1,828","1,847","1,996","2,345","3,157","3,447","2,987","2,809","2,966","3,749","4,434","4,781","4,802","4,998","5,355","6,021"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,6,15,15,13,18,24,31,43,47,61,65,68,64,75,84,104,99,105,109,118,136,154,160,162,197,245,250,332,361,437,515,560,559,602,667,778,963,966,"1,211","1,377","1,378","1,454","1,490","1,493","1,513","1,805","1,974","2,127","2,218","2,405","2,488","2,511","2,655","2,728","2,277"
          CHIP (Title XIX and Title XXI),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,6,42,56,74,120,113,106,121,173,147,163,175,168,205,226,253,252,291,331,380,396,433,449
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,4,29,40,52,83,78,74,84,118,102,115,123,119,144,158,175,176,218,304,349,366,390,374
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,2,13,16,22,37,34,32,37,55,45,49,52,49,61,68,78,76,73,28,31,30,43,75
         Department of Defense,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Department of Veterans Affairs,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
     Other Third Party Payers and Programs,44,56,64,73,82,113,140,163,202,250,308,386,433,422,458,312,355,420,492,589,711,879,"1,034","1,209","1,539","1,848","2,172","2,635","3,136","3,436","3,885","4,235","4,759","5,146","5,371","5,802","6,174","6,572","6,658","6,759","6,877","7,266","7,707","7,878","8,120","8,341","8,414","9,042","9,383","9,468","9,774","10,066","10,499","10,577","10,904","11,227","11,590","11,824","12,520","12,855","21,087"
         Worksite Health Care,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other Private Revenues,12,14,15,17,20,24,28,29,33,37,41,46,56,70,85,112,140,190,248,323,414,553,672,805,"1,056","1,286","1,525","1,857","2,219","2,444","2,768","3,011","3,385","3,702","3,955","4,347","4,678","4,978","4,994","4,996","5,047","5,276","5,656","5,725","5,916","6,163","6,282","6,714","6,841","7,031","7,304","7,562","7,956","7,943","8,257","8,641","9,053","9,301","9,872","10,187","9,815"
         Indian Health Services ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Workers' Compensation,13,14,15,16,17,18,20,23,25,29,32,35,38,46,54,62,73,86,99,117,134,152,177,202,246,284,330,397,482,557,655,713,790,822,769,779,799,846,912,978,"1,023","1,135","1,177","1,259","1,284","1,270","1,246","1,315","1,449","1,393","1,449","1,529","1,557","1,597","1,607","1,566","1,557","1,528","1,592","1,597","1,502"
         General Assistance,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,1,1,2,2,3,3,4,4,5,6,7,7,7,10,14,21,26,41,45,39,42,48,51,59,54,46,41,36,54,49,57,56,58,79,82,92,109,67,77,65,29,40,70,90,92,76,64,61,62,64
         Maternal/Child Health,16,26,29,33,38,46,60,77,92,102,102,116,126,120,127,134,137,138,139,143,156,165,177,193,224,262,294,351,391,386,421,465,533,567,585,618,648,701,712,727,755,793,812,830,834,820,788,897,"1,019",959,946,902,850,872,930,918,894,921,984,998,"1,019"
